Rk,Wk,Date,Day,Winner/Tie,Pts,,Loser/Tie,Pts,Notes
284,5,Sep 29 2012,Sat,Cincinnati,27,,Virginia Tech,24,Landover MD
285,5,Sep 29 2012,Sat,(17) Clemson,45,@,Boston College,31,
286,5,Sep 29 2012,Sat,Connecticut,24,,Buffalo,17,
287,5,Sep 29 2012,Sat,Duke,34,@,Wake Forest,27,
288,5,Sep 29 2012,Sat,East Carolina,28,,Texas-El Paso,18,
289,5,Sep 29 2012,Sat,(4) Florida State,30,@,South Florida,17,
290,5,Sep 29 2012,Sat,Fresno State,52,,San Diego State,40,
291,5,Sep 29 2012,Sat,(5) Georgia,51,,Tennessee,44,
292,5,Sep 29 2012,Sat,Houston,35,,Rice,14,Houston TX
293,5,Sep 29 2012,Sat,Iowa,31,,Minnesota,13,
294,5,Sep 29 2012,Sat,Kent State,45,,Ball State,43,
295,5,Sep 29 2012,Sat,(3) Louisiana State,38,,Towson,22,
296,5,Sep 29 2012,Sat,Louisiana Tech,44,@,Virginia,38,
297,5,Sep 29 2012,Sat,Louisiana-Lafayette,48,,Florida International,20,
298,5,Sep 29 2012,Sat,Louisiana-Monroe,63,@,Tulane,10,
299,5,Sep 29 2012,Sat,(19) Louisville,21,@,Southern Mississippi,17,
300,5,Sep 29 2012,Sat,Miami (FL),44,,North Carolina State,37,
301,5,Sep 29 2012,Sat,Miami (OH),56,@,Akron,49,
302,5,Sep 29 2012,Sat,Middle Tennessee State,49,@,Georgia Tech,28,
303,5,Sep 29 2012,Sat,Missouri,21,@,Central Florida,16,
304,5,Sep 29 2012,Sat,(22) Nebraska,30,,Wisconsin,27,
305,5,Sep 29 2012,Sat,Nevada,34,@,Texas State,21,
306,5,Sep 29 2012,Sat,North Carolina,66,,Idaho,0,
307,5,Sep 29 2012,Sat,North Texas,20,@,Florida Atlantic,14,
308,5,Sep 29 2012,Sat,Northern Illinois,55,,Central Michigan,24,
309,5,Sep 29 2012,Sat,Northwestern,44,,Indiana,29,
310,5,Sep 29 2012,Sat,Ohio,37,@,Massachusetts,34,
311,5,Sep 29 2012,Sat,(14) Ohio State,17,@,(20) Michigan State,16,
312,5,Sep 29 2012,Sat,(2) Oregon,51,@,Washington State,26,
313,5,Sep 29 2012,Sat,(18) Oregon State,38,@,Arizona,35,
314,5,Sep 29 2012,Sat,Penn State,35,@,Illinois,7,
315,5,Sep 29 2012,Sat,Purdue,51,,Marshall,41,
316,5,Sep 29 2012,Sat,San Jose State,12,@,Navy,0,
317,5,Sep 29 2012,Sat,(6) South Carolina,38,@,Kentucky,17,
318,5,Sep 29 2012,Sat,Stony Brook,23,@,Army,3,
319,5,Sep 29 2012,Sat,(12) Texas,41,@,Oklahoma State,36,
320,5,Sep 29 2012,Sat,Texas A&M,58,,Arkansas,10,Arlington TX
321,5,Sep 29 2012,Sat,(15) Texas Christian,24,@,Southern Methodist,16,
