177,North Carolina,/cfb/schools/north-carolina/,1902,2012,109,1121,602,471,48,.558,29,13,16,0,.448,4.76,4.87,15,7,,
178,North Carolina Pre-Flight,/cfb/schools/north-carolina-pre-flight/,1942,1943,2,18,10,6,2,.611,,,,,,3.23,3.87,0,0,,
179,North Carolina State,/cfb/schools/north-carolina-state/,1902,2012,107,1087,526,515,46,.505,26,14,11,1,.558,1.46,3.15,12,7,,
180,North Texas,/cfb/schools/north-texas/,1953,2012,48,510,217,282,11,.436,5,1,4,0,.200,-7.99,-4.57,0,9,W-L adjusted to 220-279-11 by NCAA (more,/cfb/friv/forfeits.cgi),
181,Northern Arizona,/cfb/schools/northern-arizona/,1931,1952,19,152,49,91,12,.362,,,,,,-17.73,-9.72,0,0,,
182,Northern Colorado,/cfb/schools/northern-colorado/,1923,1937,15,115,51,57,7,.474,,,,,,-10.73,-6.15,0,1,,
183,Northern Illinois,/cfb/schools/northern-illinois/,1968,2012,45,498,225,269,4,.456,7,4,3,0,.571,-9.56,-7.05,0,2,,
184,Northwestern,/cfb/schools/northwestern/,1892,2012,119,1144,479,625,40,.436,10,1,9,0,.100,2.76,7.76,8,8,W-L adjusted to 480-624-40 by NCAA (more,/cfb/friv/forfeits.cgi),
185,Northwestern State,/cfb/schools/northwestern-state/,1976,1979,4,41,19,22,0,.463,,,,,,-12.36,-7.69,0,0,,
186,Notre Dame,/cfb/schools/notre-dame/,1899,2012,106,1094,776,285,33,.724,31,15,16,0,.484,14.87,7.99,49,0,,
187,Oglethorpe,/cfb/schools/oglethorpe/,1919,1925,7,69,31,35,3,.471,,,,,,-3.68,2.13,0,0,,
188,Ohio,/cfb/schools/ohio/,1962,2012,51,556,225,322,9,.413,6,1,5,0,.167,-9.87,-6.17,1,3,,
189,Ohio State,/cfb/schools/ohio-state/,1904,2012,101,1002,717,249,36,.734,43,20,23,0,.465,14.73,7.68,51,35,W-L adjusted to 705-248-36 by NCAA (more,/cfb/friv/forfeits.cgi),
190,Oklahoma,/cfb/schools/oklahoma/,1903,2012,104,1102,768,287,47,.718,45,27,17,1,.611,12.13,5.28,52,42,,
191,Oklahoma State,/cfb/schools/oklahoma-state/,1914,2012,99,1024,497,486,41,.505,22,14,8,0,.636,1.90,3.38,10,10,,
192,Oregon,/cfb/schools/oregon/,1916,2012,95,976,514,428,34,.544,25,10,15,0,.400,4.84,4.80,12,10,W-L adjusted to 515-427-34 by NCAA (more,/cfb/friv/forfeits.cgi),
